movieRoleId,title,description,country,language,genre,role,type,di,
0,Echoes of Tradition,"This silent film portrays the life a once-beloved samurai whose notorious bad luck taints his and his wife's reputation. After being deemed unfit to serve his lord, the samurai must then endure a series of trials that prove his loyalty and deference. ",Japan,Japanese,"Period Film, Jidaigeki",Supporting Role,trendiness,0,
1,Cherry Blossoms and Hydrangeas,"Set in the early 1930s, this silent film follows the life of a daughter who falls in love with a boy. However, she is already arranged to marry a boy of higher status and must learn to find happiness with him. ",Japan,Japanese,"Romantic Drama, Gendaigeki",Lead Actress,trendiness,0,
2,Moonlit Tango,"A man's job promotion sends him from Kyoto to the bustling city of Tokyo. It's there that he meets a lively woman, one who captivates his attention with her extravagant foreign clothing, and her affinity for listening to jazz with a cigarette between her lips.",Japan,Japanese,"Romantic Contemporary Drama, Gendaigeki",Lead Actress,westernization,1,
3,Harmony of the East,"A factory worker struggles to make ends meet for his wife and son. This film explores his family, as well as the rising role of his wife as she takes on new authority in the household. ",Japan,Japanese,"Comedic Contemporary Drama, Gendaigeki",Leading Role,trendiness,1,
4,Grasshoppers in the Field,"A member of a small farming village struggles to provide for his newly pregnant wife. After the Japanese government demands more contributions, resources, and crops from his community, the pair begin to question the Japanese traditions that surround them. Were other, international governments the same? ",Japan,Japanese,"Comedic Contemporary Drama, Gendaigeki",Supporting Role,nationalism,0,0
5,Otohime,"Set in a small coastal town in 1930s Japan, this film tells the story of a humble fisherman's daughter and her family as they struggle with the increasing militarization sweeping the country. The daughter dreams of growing up in her peaceful, quiet life at sea, but finds herself pressured by local officials to contribute to the growing war efforts.",Japan,Japanese,War Drama,Lead Actress,nationalism,0,
6,Lotus in the Storm,"A skilled and honorable samurai must prove his loyalty in defending his lord from false treason charges. With the support of his wife's strength, counsel, and wisdom, he uncovers the conspiracy and secures his lord's future in a final duel. ",Japan,Japanese,"Period Film, Jidaigeki",Lead Actress,nationalism,1,
7,Sunset Over the Sumida,"This film follows a salaryman grappling with the challenge of raising his son amidst Japan's rapid Westernization and modernization of Tokyo. With the help of his wife, they must ensure their son does not fall to the temptations of new trends, instead adhering to the core values of tradition. ",Japan,Japanese,"Contemporary Drama, Gendaigeki",Lead Actress,westernization,0,
8,Winds of the Empire,"After his family is murdered by a mysterious stranger, a young, masterless samurai embarks on a journey to find him. His path crosses with an ailing woman, who in time reveals to him the stranger's true identity; he is the corrupt leader of her village.",Japan,Japanese,"Period Film, Jidaigeki",Supporting Role,nationalism,1,
9,Echoes of the Rising Sun,"Set in Osaka, this film revolves around a young man who falls in love with a woman from a working-class background. Notable for its use of close ups and immersive sound, the film explores the struggles of the man as he navigates their relationship amid financial hardships and societal expectations.",Japan,Japanese,"Romantic Drama, Gendaigeki",Supporting Role,trendiness,1,
10,Fabric of Tomorrow,"By blending traditional Japanese craftsmanship with bold Western fashion, a tailor's apprentice creates clothing that quickly become a local sensation. As the film continues, she must navigate the balance of honoring her heritage and embracing an interconnected world.",Japan,Japanese,"Comedic Contemporary Drama, Gendaigeki",Leading Role,westernization,1,
11,The Weight of Change,"This film follows an expatriate's return to his village and his wife. Much to the elders' chagrin, he brings Western clothing, cosmetics, and films, an action that forces him to confront the consequences of introducing possible foreign threats to his community's values.",Japan,Japanese,"Contemporary Drama, Gendaigeki",Supporting Role,westernization,0,